STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),sex,Sex,age,Age class,hospcare,Hospital care,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2022,,6.35,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2023,,7.66,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2022,,10.17,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2023,,9.93,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2022,,8.88,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,J,Diseases of the respiratory system (J00-J99),T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2023,,9.01,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2022,,8.93,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,DE,Germany,2023,,9,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2022,,8.16,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,ES,Spain,2023,,8.11,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2022,,9.12,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,FR,France,2023,,9.09,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2022,,8.32,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,IT,Italy,2023,,8.27,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2022,,8.61,,,,,
dataflow,ESTAT:HLTH_TALOS1(1.0),In-patients average length of stay in hospitals,A,Annual,TOTAL,Total,T,Total,TOTAL,Total,ALOS,In-patient average length of stay,NR,Number,PT,Portugal,2023,,8.65,,,,,
